username,password,restaurant_ratings,ttd_ratings
<<<<<<< Updated upstream
palumbo93,123,"{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""2"", ""R20"": ""5""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""3"", ""T3"": ""5""}"
"0    palumbo93
Name: username, dtype: object","0    123
Name: password, dtype: object","{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""2"", ""R20"": ""5""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""3"", ""T3"": ""5"", ""T1218"": ""1""}"
palumbo,123,"{""R0"": ""4"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""4"", ""R20"": ""5""}","{""T0"": ""5"", ""T3"": ""5"", ""T2"": ""5"", ""T1"": ""5""}"
palumbo,123,"{""R0"": ""4"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""4"", ""R20"": ""5""}","{""T0"": ""5"", ""T3"": ""5"", ""T2"": ""5"", ""T1"": ""5"", ""T1202"": ""4""}"
"0    palumbo93
Name: username, dtype: object","0    123
Name: password, dtype: object","{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""2"", ""R20"": ""5""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""3"", ""T3"": ""5"", ""T1216"": ""1""}"
chrisnewuser,123,"{""R0"": ""5"", ""R2"": ""3"", ""R11"": ""5"", ""R18"": ""5"", ""R20"": ""4""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""4"", ""T3"": ""5""}"
chrisnewuser,123,"{""R0"": ""5"", ""R2"": ""3"", ""R11"": ""5"", ""R18"": ""5"", ""R20"": ""4""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""4"", ""T3"": ""5"", ""T1216"": ""2""}"
newuser123,123,"{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""5"", ""R20"": ""3""}","{""T0"": ""4"", ""T1"": ""4"", ""T2"": ""5"", ""T3"": ""5""}"
newuser123,123,"{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""5"", ""R20"": ""3""}","{""T0"": ""4"", ""T1"": ""4"", ""T2"": ""5"", ""T3"": ""5"", ""T1218"": ""5"", ""T1202"": ""4"", ""T1216"": ""5""}"
newuser1234,123,"{""R0"": ""5"", ""R2"": ""4"", ""R11"": ""4"", ""R20"": ""5"", ""R18"": ""3""}","{""T0"": ""5"", ""T1"": ""4"", ""T2"": ""3"", ""T3"": ""5""}"
newuser1234,123,"{""R0"": ""5"", ""R2"": ""4"", ""R11"": ""4"", ""R20"": ""5"", ""R18"": ""3""}","{""T0"": ""5"", ""T1"": ""4"", ""T2"": ""3"", ""T3"": ""5"", ""T1218"": ""5"", ""T1202"": ""5"", ""T1208"": ""1""}"
"0    palumbo93
Name: username, dtype: object","0    123
Name: password, dtype: object","{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""2"", ""R20"": ""5""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""3"", ""T3"": ""5"", ""T1202"": ""1""}"
"0    palumbo93
Name: username, dtype: object","0    123
Name: password, dtype: object","{""R0"": ""5"", ""R2"": ""5"", ""R11"": ""5"", ""R18"": ""2"", ""R20"": ""5""}","{""T0"": ""5"", ""T1"": ""5"", ""T2"": ""3"", ""T3"": ""5"", ""T1202"": ""1""}"
seedtest,123,{},{}
seedtest2,`12,{},{}
seedtes4,123,{},{}
seedpreftest4,`132,"{""R2837"": ""5"", ""R305"": ""5""}","{""T20"": ""5""}"
sfsdf,s,{},"{""T470"": ""5""}"
chrispalumbo,123,"{""R104"": ""5"", ""R305"": ""5"", ""R1307"": ""5"", ""R2820"": ""5"", ""R2837"": ""5"", ""R397"": ""5""}","{""T2"": ""5"", ""T1198"": ""4"", ""T160"": ""4"", ""T470"": ""2"", ""T20"": ""2"", ""T478"": ""5""}"
